codigo,datetime,codigo_concorrente
oMn07h1bJYV0Wdx+RTzsDcT8JQlT7QXc7q8A/4y+cO5gBQKOUoYGBEn1EKY7LIg4,2017-07-27 09:51:02,650509405109544
iZuQeTd9am+qfaiqnn5kkixogIbwN0nY2gtMwZqH9bFqph8qYvYchFRokjl3Pe/V,2017-06-24 14:00:26.405,650509405109544
iIMvwWSnQoW0aqQlcvjc8A6LvjkRX1HLppdkdQZapPVVv7VJLDVGqzqsaBrpuu+7,2017-07-06 21:51:11.056,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-02 14:27:09.316,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-15 03:03:29.731,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-15 03:03:29.731,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-01 06:32:39.149,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-01 10:07:58.708,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-01 06:07:14.333,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-15 01:48:28.922,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-13 03:03:39.828,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-13 03:03:39.828,650509405109544
JU6Ggudehig6AffZFq+8xDe/MttO8m5P5+s+ANmV+JkGnvhTczeY/KnK8WVu0d+v,2017-07-13 14:52:40.484,650509405109544
JU6Ggudehig6AffZFq+8xDe/MttO8m5P5+s+ANmV+JkGnvhTczeY/KnK8WVu0d+v,2017-07-11 20:49:22.922,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-15 01:48:28.922,650509405109544
L2LNsLdlJMdr6HeuMICn51YlaE2rD6OhOXcXbsjjqG2yCduGMBii2tOtaWzZktCS,2017-07-11 13:42:51.106,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-01 03:37:13.694,650509405109544
L2LNsLdlJMdr6HeuMICn51YlaE2rD6OhOXcXbsjjqG2yCduGMBii2tOtaWzZktCS,2017-07-11 13:42:51.106,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-04 01:19:04.134,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-15 03:27:27.703,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-09 01:03:25.876,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-01 09:55:41.595,650509405109544
iZuQeTd9am+qfaiqnn5kkixogIbwN0nY2gtMwZqH9bFqph8qYvYchFRokjl3Pe/V,2017-06-24 14:00:26.405,650509405109544
2+gDNFdRom/l+PDl0hPv8friJIeCgwy60q/R6id8vKq5ES2bgXNEvHiJ4k9zMMOm,2017-07-10 06:44:54.515,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-15 17:59:57.149,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-13 05:45:33.834,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-15 03:01:56.694,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-09 16:43:21.985,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-02 18:38:05.992,650509405109544
2+gDNFdRom/l+PDl0hPv8friJIeCgwy60q/R6id8vKq5ES2bgXNEvHiJ4k9zMMOm,2017-07-07 01:33:33.911,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-02 06:48:26.35,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-01 22:12:12.423,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-09 00:13:25.946,650509405109544
JU6Ggudehig6AffZFq+8xDe/MttO8m5P5+s+ANmV+JkGnvhTczeY/KnK8WVu0d+v,2017-07-17 18:19:43.855,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-15 06:45:40.062,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-14 23:18:30.043,650509405109544
JU6Ggudehig6AffZFq+8xDe/MttO8m5P5+s+ANmV+JkGnvhTczeY/KnK8WVu0d+v,2017-07-22 15:18:02.547,650509405109544
hlLalwGZhDrUi60Z7WKupZ5d4Zqf552jH1gUdg+C350jNmF45GDBXr+/ofZw9c4J,2017-07-29 12:34:30.657,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-04 02:33:15.24,650509405109544
JU6Ggudehig6AffZFq+8xDe/MttO8m5P5+s+ANmV+JkGnvhTczeY/KnK8WVu0d+v,2017-07-10 13:23:27.745,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-06 03:02:02.258,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-14 20:49:16.631,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-20 19:42:30.619,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-09 04:14:46.081,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-14 23:18:30.043,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-09 14:52:01.222,650509405109544
JU6Ggudehig6AffZFq+8xDe/MttO8m5P5+s+ANmV+JkGnvhTczeY/KnK8WVu0d+v,2017-07-20 15:30:37.606,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-13 05:45:33.834,650509405109544
pI/zeb3hr67tdTPGRmHxoJRiWPrMR9KhhNdLrLKRCgKytqsRZX3lusFHKuiQeCLU,2017-07-01 11:29:59.768,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-09 04:12:42.166,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-15 09:59:36.931,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-02 08:39:29.593,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-02 02:38:47.064,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-15 15:46:38.904,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-12 19:55:51.361,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-01 21:30:59.147,650509405109544
vxgNjvzFGtCdXfRCTRBEbj0pomZKJLGFlDcchcid0QgWQdlCmbLkpYIxLxoOD5Iw,2017-07-08 16:31:25.662,650509405109544
JU6Ggudehig6AffZFq+8xDe/MttO8m5P5+s+ANmV+JkGnvhTczeY/KnK8WVu0d+v,2017-07-15 19:33:30.6,650509405109544
iZuQeTd9am+qfaiqnn5kkixogIbwN0nY2gtMwZqH9bFqph8qYvYchFRokjl3Pe/V,2017-07-12 01:58:36.362,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-09 11:01:44.531,650509405109544
JU6Ggudehig6AffZFq+8xDe/MttO8m5P5+s+ANmV+JkGnvhTczeY/KnK8WVu0d+v,2017-07-19 23:22:38.108,650509405109544
JU6Ggudehig6AffZFq+8xDe/MttO8m5P5+s+ANmV+JkGnvhTczeY/KnK8WVu0d+v,2017-07-20 14:30:30.39,650509405109544
JU6Ggudehig6AffZFq+8xDe/MttO8m5P5+s+ANmV+JkGnvhTczeY/KnK8WVu0d+v,2017-07-22 23:02:11.763,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-05 23:03:33,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-01 06:08:59.707,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-09 01:23:55.59,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-12 22:08:26.297,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-03 19:43:34.5,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-06 04:04:40.776,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-02 03:17:15.485,650509405109544
iZuQeTd9am+qfaiqnn5kkixogIbwN0nY2gtMwZqH9bFqph8qYvYchFRokjl3Pe/V,2017-07-11 22:09:33.586,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-15 02:49:31.762,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-02 23:02:18.415,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-02 23:02:18.415,650509405109544
JU6Ggudehig6AffZFq+8xDe/MttO8m5P5+s+ANmV+JkGnvhTczeY/KnK8WVu0d+v,2017-07-26 13:08:16.138,650509405109544
JU6Ggudehig6AffZFq+8xDe/MttO8m5P5+s+ANmV+JkGnvhTczeY/KnK8WVu0d+v,2017-07-13 22:28:19.868,650509405109544
