codigo_concorrente;dias_semana;manha;tarde;noite
101025009987066;0;3.6;5.8;6.5
101025009987066;1;3.0;7.8;1.4
101025009987066;2;4.0;4.0;3.6
101025009987066;3;2.5;3.5;3.5
101025009987066;4;4.25;4.0;3.25
101025009987066;5;2.5;6.25;4.25
101025009987066;6;4.4;6.25;2.0
101697359943871;0;7.8;5.0;5.2
101697359943871;1;5.2;4.6;6.0
101697359943871;2;7.6;6.8;7.0
101697359943871;3;7.5;8.6;5.5
101697359943871;4;6.5;7.5;3.0
101697359943871;5;9.8;3.0;3.5
101697359943871;6;4.6;4.2;3.0
104027309658909;0;1.0;1.75;2.0
104027309658909;1;4.5;2.0;2.0
104027309658909;2;1.0;1.5;1.0
104027309658909;3;;1.0;
104027309658909;4;;1.0;
104027309658909;5;3.0;1.0;
104027309658909;6;;2.0;2.0
104841373313039;0;3.3333333333333335;1.0;1.5
104841373313039;1;1.5;1.5;
104841373313039;2;4.0;5.6;1.0
104841373313039;3;2.5;5.25;1.6666666666666667
104841373313039;4;2.6666666666666665;4.5;1.0
104841373313039;5;4.5;7.25;2.0
104841373313039;6;1.3333333333333333;5.0;1.0
111775918969807;0;3.6666666666666665;9.333333333333334;4.5
111775918969807;1;11.0;4.666666666666667;
111775918969807;2;2.5;3.25;3.0
111775918969807;3;5.0;5.0;3.6666666666666665
111775918969807;4;3.5;4.75;4.0
111775918969807;5;6.0;3.6666666666666665;3.6666666666666665
111775918969807;6;3.2;3.5;2.0
113104335757395;0;1.0;2.0;2.0
113104335757395;1;1.6666666666666667;2.3333333333333335;1.0
113104335757395;2;6.0;2.0;1.0
113104335757395;3;;;3.0
113104335757395;4;1.0;1.5;2.0
113104335757395;5;1.0;1.5;3.0
113104335757395;6;2.3333333333333335;1.0;1.0
114951038597810;0;3.4;3.2;3.75
114951038597810;1;1.6;5.0;2.75
114951038597810;2;3.0;3.2857142857142856;1.5
114951038597810;3;3.6666666666666665;3.3333333333333335;6.0
114951038597810;4;3.0;6.333333333333333;2.75
114951038597810;5;3.5;5.2;6.666666666666667
114951038597810;6;5.6;3.8;2.0
114951738656563;0;5.0;3.0;8.0
114951738656563;1;4.5;5.0;1.8
114951738656563;2;4.0;7.2;4.666666666666667
114951738656563;3;2.3333333333333335;6.5;2.6666666666666665
114951738656563;4;5.25;6.25;5.25
114951738656563;5;7.25;8.0;4.5
114951738656563;6;3.2;9.6;5.666666666666667
116732941852794;0;9.25;31.2;24.2
116732941852794;1;3.6;23.5;11.166666666666666
116732941852794;2;4.6;13.8;12.6
116732941852794;3;4.75;13.5;15.5
116732941852794;4;3.3333333333333335;23.25;11.25
116732941852794;5;3.6666666666666665;17.6;12.8
116732941852794;6;2.75;12.6;13.6
117940525055948;0;30.2;25.0;28.2
117940525055948;1;21.6;29.8;13.4
117940525055948;2;17.4;33.2;12.4
117940525055948;3;11.5;11.833333333333334;15.8
117940525055948;4;11.4;14.75;23.75
117940525055948;5;17.75;24.4;21.8
117940525055948;6;10.833333333333334;17.4;17.0
117995414936594;0;5.4;2.5;7.75
117995414936594;1;4.666666666666667;2.6;2.2
117995414936594;2;4.4;6.0;2.0
117995414936594;3;4.5;3.25;2.5
117995414936594;4;6.5;7.0;2.5
117995414936594;5;5.25;6.0;2.0
117995414936594;6;4.0;3.0;4.0
119302904889635;0;4.25;4.5;5.333333333333333
119302904889635;1;3.0;3.5;1.0
119302904889635;2;4.5;1.5;
119302904889635;3;2.0;1.5;1.0
119302904889635;4;1.0;2.0;5.0
119302904889635;5;2.5;3.0;4.0
119302904889635;6;2.6666666666666665;2.5;4.333333333333333
119707168189579;0;7.666666666666667;4.2;4.0
119707168189579;1;4.4;2.8;4.2
119707168189579;2;4.25;1.0;2.8
119707168189579;3;4.0;4.333333333333333;5.6
119707168189579;4;11.25;3.5;4.8
119707168189579;5;7.0;6.0;6.8
119707168189579;6;7.666666666666667;3.5;4.0
119750171435636;0;7.0;12.6;12.0
119750171435636;1;3.8;10.6;11.8
119750171435636;2;4.6;8.0;4.6
119750171435636;3;7.0;11.25;11.5
